"","unique.ger_masc...1.."
"1127","Ernteeinsatz"
"1128","Eroberer"
"1129","Eros"
"1130","Erpresser"
"1131","Erpressungsversuch"
"1132","Erreger"
"1133","Ersatz"
"1134","Ersatzdienst"
"1135","Erschoepfungszustand"
"1136","Ertrag"
"1137","Erweis"
"1138","Erwerb"
"1139","Erwerber"
"1140","Erzaehler"
"1141","Erzbischof"
"1142","Erzengel"
"1143","Erzeuger"
"1144","Erzfeind"
"1145","Erzherzog"
"1146","Erzieher"
"1147","Esel"
"1148","Eskimo"
"1149","Esprit"
"1150","Essayist"
"1151","Esser"
"1152","Essloeffel"
"1153","Essraum"
"1154","Esstisch"
"1155","Ester"
"1156","Etat"
"1157","Eulenspiegel"
"1158","Evangelist"
"1159","Examinator"
"1160","Exekutor"
"1161","Exerzierplatz"
"1162","Exhibitionismus"
"1163","Existentialismus"
"1164","Existentialist"
"1165","Exorzist"
"1166","Expeditionsleiter"
"1167","Exponent"
"1168","Exportanteil"
"1169","Exportartikel"
"1170","Exporteur"
"1171","Express"
"1172","Expressbote"
"1173","Expressionismus"
"1174","Expressionist"
"1175","Extremismus"
"1176","Extremist"
"1177","Exzentriker"
"1178","Fabrikant"
"1179","Fabrikarbeiter"
"1180","Facharbeiter"
"1181","Facharzt"
"1182","Fachmann"
"1183","Faden"
"1184","Fadenschlag"
"1185","Faecher"
"1186","Faehnrich"
"1187","Faehrtensucher"
"1188","Faelscher"
"1189","Fahnenmast"
"1190","Fahrer"
"1191","Fahrgast"
"1192","Fahrplan"
"1193","Fahrpreis"
"1194","Fahrstuhl"
"1195","Fakir"
"1196","Faktor"
"1197","Falbe"
"1198","Falke"
"1199","Fall"
"1200","Fallschirm"
"1201","Falschspieler"
"1202","Falter"
"1203","Familienanschluss"
"1204","Fan"
"1205","Fanatiker"
"1206","Fanatismus"
"1207","Fang"
"1208","Farbfernseher"
"1209","Farbstoff"
"1210","Farmer"
"1211","Farn"
"1212","Fasan"
"1213","Fasching"
"1214","Faschist"
"1215","Faser"
"1216","Fatalismus"
"1217","Faulenzer"
"1218","Faulpelz"
"1219","Faun"
"1220","Fausthandschuh"
"1221","Faustkampf"
"1222","Faustschlag"
"1223","Fechter"
"1224","Federball"
"1225","Federstrich"
"1226","Fehl"
"1227","Fehler"
"1228","Fehlschluss"
"1229","Fehltritt"
"1230","Feierabend"
"1231","Feiertag"
"1232","Feigenbaum"
"1233","Feigling"
"1234","Feind"
"1235","Feldhueter"
"1236","Feldwebel"
"1237","Feldweg"
"1238","Feldzug"
"1239","Fels"
"1240","Ferienort"
"1241","Fernfahrer"
"1242","Fernkurs"
"1243","Fernlaster"
"1244","Fernschreiber"
"1245","Fernsehapparat"
"1246","Fernseher"
"1247","Fernsprecher"
"1248","Fernunterricht"
"1249","Festkoerper"
"1250","Festmeter"
"1251","Festplatz"
"1252","Festredner"
"1253","Festtag"
"1254","Festungsgraben"
"1255","Festzug"
"1256","Fettansatz"
"1257","Fettgehalt"
"1258","Fetus"
"1259","Fetzen"
"1260","Feudalismus"
"1261","Feueralarm"
"1262","Feuerhaken"
"1263","Feuerloescher"
"1264","Feuermelder"
"1265","Feuerschaden"
